"","FIID","IID"
"1","0","10003"
"2","0","10004"
"3","0","10005"
"4","0","10006"
"5","0","10007"
"6","0","10008"
"7","0","10010"
"8","0","10011"
"9","0","10012"
"10","0","10013"
"11","0","10014"
"12","0","10015"
"13","0","10016"
"14","0","10018"
"15","0","10019"
"16","0","10020"
"17","0","10021"
"18","0","10022"
"19","0","10023"
"20","0","10026"
"21","0","10027"
"22","0","10028"
"23","0","10029"
"24","0","10030"
"25","0","10031"
"26","0","10032"
"27","0","10034"
"28","0","10035"
"29","0","10036"
"30","0","10037"
"31","0","10038"
"32","0","10040"
"33","0","10041"
"34","0","10042"
"35","0","10043"
"36","0","10044"
"37","0","10046"
"38","0","10047"
"39","0","10048"
"40","0","10049"
"41","0","10051"
"42","0","10052"
"43","0","10053"
"44","0","10054"
"45","0","10055"
"46","0","10056"
"47","0","10057"
"48","0","10059"
"49","0","10061"
"50","0","10062"
"51","0","10063"
"52","0","10065"
"53","0","10067"
"54","0","10068"
"55","0","10069"
"56","0","10071"
"57","0","10072"
"58","0","10073"
"59","0","10074"
"60","0","10075"
"61","0","10076"
"62","0","10077"
"63","0","10078"
"64","0","10079"
"65","0","10080"
"66","0","10081"
"67","0","10083"
"68","0","10084"
"69","0","10085"
"70","0","10086"
"71","0","10087"
"72","0","10088"
"73","0","10089"
"74","0","10091"
"75","0","10092"
"76","0","10093"
"77","0","10094"
"78","0","20099"
"79","0","20100"
"80","0","20101"
"81","0","20102"
"82","0","20103"
"83","0","20104"
"84","0","20105"
"85","0","20106"
"86","0","20107"
"87","0","20109"
"88","0","20112"
"89","0","20114"
"90","0","20115"
"91","0","20116"
"92","0","20117"
"93","0","20118"
"94","0","20119"
"95","0","20120"
"96","0","20122"
"97","0","20124"
"98","0","20125"
"99","0","20127"
"100","0","20128"
"101","0","20129"
"102","0","20131"
"103","0","20132"
"104","0","20133"
"105","0","20134"
"106","0","20135"
"107","0","20138"
"108","0","20139"
"109","0","20140"
"110","0","20141"
"111","0","20143"
"112","0","20144"
"113","0","20145"
"114","0","20146"
"115","0","20147"
"116","0","20148"
"117","0","20149"
"118","0","20150"
"119","0","20151"
"120","0","20153"
"121","0","20154"
"122","0","20155"
"123","0","20158"
"124","0","20159"
"125","0","20160"
"126","0","20161"
"127","0","20164"
"128","0","20165"
"129","0","20166"
"130","0","20167"
"131","0","20169"
"132","0","20171"
"133","0","20172"
"134","0","20173"
"135","0","20175"
"136","0","20176"
"137","0","20178"
"138","0","20179"
"139","0","20180"
"140","0","20182"
"141","0","20183"
"142","0","20184"
"143","0","20185"
"144","0","20186"
"145","0","20187"
"146","0","20188"
"147","0","20189"
"148","0","20190"
"149","0","30194"
"150","0","30195"
"151","0","30196"
"152","0","30197"
"153","0","30198"
"154","0","30199"
"155","0","30200"
"156","0","30202"
"157","0","30203"
"158","0","30204"
"159","0","30205"
"160","0","30206"
"161","0","30207"
"162","0","30210"
"163","0","30211"
"164","0","30212"
"165","0","30214"
"166","0","30215"
"167","0","30216"
"168","0","30218"
"169","0","30219"
"170","0","30221"
"171","0","30222"
"172","0","30224"
"173","0","30225"
"174","0","30226"
"175","0","30227"
"176","0","30228"
"177","0","30229"
"178","0","30230"
"179","0","30231"
"180","0","30232"
"181","0","30233"
"182","0","30234"
"183","0","30235"
"184","0","30236"
"185","0","30237"
"186","0","30239"
"187","0","30241"
"188","0","30242"
"189","0","30243"
"190","0","30244"
"191","0","30246"
"192","0","30247"
"193","0","30248"
"194","0","30249"
"195","0","30250"
"196","0","30254"
"197","0","30255"
"198","0","30256"
"199","0","30257"
"200","0","30258"
"201","0","30259"
"202","0","30260"
"203","0","30261"
"204","0","30262"
"205","0","30263"
"206","0","30265"
"207","0","30266"
"208","0","30267"
"209","0","30268"
"210","0","30269"
"211","0","30270"
"212","0","30271"
"213","0","30272"
"214","0","30273"
"215","0","30274"
"216","0","30275"
"217","0","30276"
"218","0","30277"
"219","0","30280"
"220","0","30281"
"221","0","30282"
"222","0","30283"
"223","0","30284"
"224","0","30285"
"225","0","30286"
"226","0","40290"
"227","0","40291"
"228","0","40292"
"229","0","40293"
"230","0","40295"
"231","0","40296"
"232","0","40298"
"233","0","40299"
"234","0","40300"
"235","0","40302"
"236","0","40303"
"237","0","40304"
"238","0","40306"
"239","0","40307"
"240","0","40309"
"241","0","40310"
"242","0","40311"
"243","0","40312"
"244","0","40315"
"245","0","40316"
"246","0","40317"
"247","0","40318"
"248","0","40319"
"249","0","40321"
"250","0","40322"
"251","0","40323"
"252","0","40324"
"253","0","40325"
"254","0","40326"
"255","0","40328"
"256","0","40329"
"257","0","40330"
"258","0","40331"
"259","0","40332"
"260","0","40336"
"261","0","40337"
"262","0","40338"
"263","0","40339"
"264","0","40340"
"265","0","40341"
"266","0","40342"
"267","0","40343"
"268","0","40344"
"269","0","40345"
"270","0","40346"
"271","0","40347"
"272","0","40348"
"273","0","40350"
"274","0","40351"
"275","0","40354"
"276","0","40355"
"277","0","40356"
"278","0","40358"
"279","0","40359"
"280","0","40360"
"281","0","40361"
"282","0","40362"
"283","0","40363"
"284","0","40364"
"285","0","40365"
"286","0","40366"
"287","0","40367"
"288","0","40368"
"289","0","40369"
"290","0","40370"
"291","0","40371"
"292","0","40373"
"293","0","40374"
"294","0","40375"
"295","0","40376"
"296","0","40377"
"297","0","40379"
"298","0","40380"
"299","0","40381"
"300","0","40382"
"301","0","50386"
"302","0","50387"
"303","0","50390"
"304","0","50391"
"305","0","50392"
"306","0","50394"
"307","0","50395"
"308","0","50396"
"309","0","50397"
"310","0","50398"
"311","0","50399"
"312","0","50402"
"313","0","50403"
"314","0","50405"
"315","0","50406"
"316","0","50407"
"317","0","50408"
"318","0","50411"
"319","0","50412"
"320","0","50413"
"321","0","50414"
"322","0","50415"
"323","0","50416"
"324","0","50418"
"325","0","50419"
"326","0","50420"
"327","0","50421"
"328","0","50422"
"329","0","50423"
"330","0","50424"
"331","0","50425"
"332","0","50426"
"333","0","50427"
"334","0","50428"
"335","0","50429"
"336","0","50430"
"337","0","50431"
"338","0","50432"
"339","0","50433"
"340","0","50434"
"341","0","50435"
"342","0","50437"
"343","0","50439"
"344","0","50440"
"345","0","50441"
"346","0","50443"
"347","0","50447"
"348","0","50449"
"349","0","50450"
"350","0","50451"
"351","0","50452"
"352","0","50453"
"353","0","50454"
"354","0","50456"
"355","0","50457"
"356","0","50458"
"357","0","50460"
"358","0","50461"
"359","0","50462"
"360","0","50464"
"361","0","50466"
"362","0","50468"
"363","0","50471"
"364","0","50472"
"365","0","50473"
"366","0","50474"
"367","0","50478"
